RANDOM_GENERATION RANDOM_SELECTION CX RANDOM ELITE_PROTECTION ;441
INSERT_GENERATION ROULETTE_SELECTION CX NEAREST_NEIGHBOUR ELITE_PROTECTION ;821
INSERT_GENERATION ROULETTE_SELECTION CX2 INVERT RANDOM_ELIMINATING ;832
INSERT_GENERATION TOURNAMENT_SELECTION PMX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;854
RANDOM_GENERATION RANDOM_SELECTION CX2 NEAREST_NEIGHBOUR ELITE_PROTECTION ;1152
TWO_OPT_GENERATION ROULETTE_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR AGE_ELIMINATING ;439
RANDOM_GENERATION RANDOM_SELECTION OX NEAREST_NEIGHBOUR AGE_ELIMINATING ;1171
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION PMX INVERT AGE_ELIMINATING ;427
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;880
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR AGE_ELIMINATING ;437
INSERT_GENERATION TOURNAMENT_SELECTION OX RANDOM RANDOM_ELIMINATING ;768
RANDOM_GENERATION RANDOM_SELECTION OX INVERT RANDOM_ELIMINATING ;593
INSERT_GENERATION ROULETTE_SELECTION CX INVERT RANDOM_ELIMINATING ;438
TWO_OPT_GENERATION TOURNAMENT_SELECTION OX RANDOM AGE_ELIMINATING ;429
INSERT_GENERATION TOURNAMENT_SELECTION CX2 INSERT RANDOM_ELIMINATING ;855
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX INSERT AGE_ELIMINATING ;445
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX NEAREST_NEIGHBOUR ELITE_PROTECTION ;825
INSERT_GENERATION RANDOM_SELECTION OX NEAREST_NEIGHBOUR AGE_ELIMINATING ;809
INSERT_GENERATION ROULETTE_SELECTION CX2 NEAREST_NEIGHBOUR ELITE_PROTECTION ;874
TWO_OPT_GENERATION TOURNAMENT_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR AGE_ELIMINATING ;437
INSERT_GENERATION TOURNAMENT_SELECTION CX INVERT RANDOM_ELIMINATING ;442
RANDOM_GENERATION TOURNAMENT_SELECTION NEAREST_NEIGHBOUR INVERT AGE_ELIMINATING ;427
INSERT_GENERATION RANDOM_SELECTION CX RANDOM RANDOM_ELIMINATING ;861
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION PMX INSERT AGE_ELIMINATING ;443
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION PMX NEAREST_NEIGHBOUR AGE_ELIMINATING ;800
TWO_OPT_GENERATION TOURNAMENT_SELECTION PMX INVERT RANDOM_ELIMINATING ;788
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION OX INSERT ELITE_PROTECTION ;459
RANDOM_GENERATION RANDOM_SELECTION CX2 RANDOM RANDOM_ELIMINATING ;1022
INSERT_GENERATION RANDOM_SELECTION CX INVERT AGE_ELIMINATING ;428
INSERT_GENERATION RANDOM_SELECTION OX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;857
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION CX RANDOM RANDOM_ELIMINATING ;790
TWO_OPT_GENERATION ROULETTE_SELECTION NEAREST_NEIGHBOUR INSERT RANDOM_ELIMINATING ;437
TWO_OPT_GENERATION TOURNAMENT_SELECTION PMX RANDOM AGE_ELIMINATING ;426
TWO_OPT_GENERATION RANDOM_SELECTION OX INSERT RANDOM_ELIMINATING ;765
INSERT_GENERATION RANDOM_SELECTION OX INVERT AGE_ELIMINATING ;429
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION PMX NEAREST_NEIGHBOUR ELITE_PROTECTION ;740
RANDOM_GENERATION RANDOM_SELECTION OX INSERT ELITE_PROTECTION ;466
INSERT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR INVERT ELITE_PROTECTION ;426
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX INSERT ELITE_PROTECTION ;472
TWO_OPT_GENERATION TOURNAMENT_SELECTION NEAREST_NEIGHBOUR INVERT ELITE_PROTECTION ;426
TWO_OPT_GENERATION RANDOM_SELECTION CX INSERT ELITE_PROTECTION ;462
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION OX RANDOM ELITE_PROTECTION ;440
TWO_OPT_GENERATION TOURNAMENT_SELECTION PMX INSERT ELITE_PROTECTION ;435
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION PMX INSERT RANDOM_ELIMINATING ;842
RANDOM_GENERATION TOURNAMENT_SELECTION CX2 NEAREST_NEIGHBOUR ELITE_PROTECTION ;1156
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION CX NEAREST_NEIGHBOUR AGE_ELIMINATING ;784
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION PMX INVERT RANDOM_ELIMINATING ;832
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX2 NEAREST_NEIGHBOUR AGE_ELIMINATING ;818
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION OX NEAREST_NEIGHBOUR ELITE_PROTECTION ;831
INSERT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR RANDOM ELITE_PROTECTION ;427
INSERT_GENERATION ROULETTE_SELECTION OX INSERT ELITE_PROTECTION ;460
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION NEAREST_NEIGHBOUR INSERT AGE_ELIMINATING ;428
TWO_OPT_GENERATION ROULETTE_SELECTION OX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;777
INSERT_GENERATION TOURNAMENT_SELECTION CX2 INVERT AGE_ELIMINATING ;429
TWO_OPT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR ELITE_PROTECTION ;435
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION NEAREST_NEIGHBOUR INVERT RANDOM_ELIMINATING ;430
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX INVERT ELITE_PROTECTION ;439
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION CX2 RANDOM ELITE_PROTECTION ;427
RANDOM_GENERATION ROULETTE_SELECTION CX2 RANDOM RANDOM_ELIMINATING ;1105
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION NEAREST_NEIGHBOUR INVERT AGE_ELIMINATING ;426
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX RANDOM ELITE_PROTECTION ;440
INSERT_GENERATION RANDOM_SELECTION CX RANDOM AGE_ELIMINATING ;426
INSERT_GENERATION RANDOM_SELECTION OX RANDOM RANDOM_ELIMINATING ;738
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION PMX RANDOM AGE_ELIMINATING ;426
RANDOM_GENERATION ROULETTE_SELECTION OX INSERT RANDOM_ELIMINATING ;459
INSERT_GENERATION TOURNAMENT_SELECTION OX INVERT RANDOM_ELIMINATING ;616
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;811
TWO_OPT_GENERATION ROULETTE_SELECTION CX2 RANDOM ELITE_PROTECTION ;427
INSERT_GENERATION TOURNAMENT_SELECTION OX INSERT RANDOM_ELIMINATING ;795
INSERT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR ELITE_PROTECTION ;429
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR ELITE_PROTECTION ;435
TWO_OPT_GENERATION ROULETTE_SELECTION CX2 RANDOM AGE_ELIMINATING ;426
RANDOM_GENERATION TOURNAMENT_SELECTION OX INVERT AGE_ELIMINATING ;427
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION CX RANDOM ELITE_PROTECTION ;427
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION CX2 INVERT AGE_ELIMINATING ;434
TWO_OPT_GENERATION ROULETTE_SELECTION NEAREST_NEIGHBOUR INSERT AGE_ELIMINATING ;426
INSERT_GENERATION TOURNAMENT_SELECTION PMX INVERT ELITE_PROTECTION ;441
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION NEAREST_NEIGHBOUR NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;443
TWO_OPT_GENERATION RANDOM_SELECTION OX NEAREST_NEIGHBOUR RANDOM_ELIMINATING ;827
TWO_OPT_GENERATION RANDOM_SELECTION OX RANDOM ELITE_PROTECTION ;439
INSERT_GENERATION ROULETTE_SELECTION PMX INVERT AGE_ELIMINATING ;431
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION PMX INVERT AGE_ELIMINATING ;432
HYBRID_TWO_OPT_AND_RANDOM RANDOM_SELECTION OX RANDOM RANDOM_ELIMINATING ;722
INSERT_GENERATION TOURNAMENT_SELECTION PMX INSERT RANDOM_ELIMINATING ;866
TWO_OPT_GENERATION ROULETTE_SELECTION CX2 INVERT RANDOM_ELIMINATING ;793
TWO_OPT_GENERATION RANDOM_SELECTION NEAREST_NEIGHBOUR INSERT RANDOM_ELIMINATING ;433
INSERT_GENERATION ROULETTE_SELECTION NEAREST_NEIGHBOUR INSERT ELITE_PROTECTION ;426
TWO_OPT_GENERATION ROULETTE_SELECTION CX2 INSERT RANDOM_ELIMINATING ;818
RANDOM_GENERATION TOURNAMENT_SELECTION OX INSERT RANDOM_ELIMINATING ;801
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX INSERT ELITE_PROTECTION ;464
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION NEAREST_NEIGHBOUR INVERT ELITE_PROTECTION ;426
TWO_OPT_GENERATION TOURNAMENT_SELECTION CX2 RANDOM ELITE_PROTECTION ;432
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION PMX INSERT RANDOM_ELIMINATING ;829
RANDOM_GENERATION ROULETTE_SELECTION CX2 INVERT AGE_ELIMINATING ;432
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION CX2 INVERT ELITE_PROTECTION ;431
RANDOM_GENERATION ROULETTE_SELECTION PMX INSERT ELITE_PROTECTION ;451
HYBRID_TWO_OPT_AND_RANDOM TOURNAMENT_SELECTION CX2 RANDOM ELITE_PROTECTION ;430
HYBRID_TWO_OPT_AND_RANDOM ROULETTE_SELECTION CX2 INVERT RANDOM_ELIMINATING ;873
RANDOM_GENERATION TOURNAMENT_SELECTION OX INVERT RANDOM_ELIMINATING ;690
RANDOM_GENERATION ROULETTE_SELECTION OX RANDOM RANDOM_ELIMINATING ;501
