second;swapAC;insertAC;invertAC;3optAC;swap;insert;invert3opt;
1;2200;2091;2287;2043;2265;2087;2287;2043
2;2200;2091;2287;2043;2171;2077;2287;2043
3;2034;2079;2287;2043;2171;1976;2287;2043
4;2034;2079;2287;2043;2171;1976;2287;2043
5;2034;2079;2287;2043;2171;1976;2287;2043
6;2034;2079;2287;2043;2160;1976;2287;2043
7;2034;2035;2287;2043;2160;1969;2287;2043
8;2034;1994;2287;2043;2160;1969;2287;2043
9;2034;1994;2287;2043;2160;1969;2287;2043
10;2034;1994;2287;2043;2160;1969;2287;2043
11;2034;1994;2287;2043;2101;1969;2287;2043
12;2034;1994;2287;2043;2094;1969;2287;2043
13;2034;1994;2287;2043;2055;1969;2287;2043
14;2034;1994;2287;2043;2055;1969;2287;2043
15;2034;1994;2287;2043;2055;1969;2287;2043
16;2034;1994;2287;2043;2055;1969;2287;2043
17;2034;1994;2287;2043;2055;1969;2287;2043
18;2034;1994;2287;2043;2055;1969;2287;2043
19;2034;1994;2287;2043;2055;1969;2287;2043
20;2034;1994;2287;2043;2052;1969;2287;2043
21;2034;1994;2287;2043;2052;1969;2287;2043
22;2034;1994;2287;2043;2052;1969;2287;2043
23;2034;1994;2287;2043;2052;1969;2287;2043
24;2034;1994;2287;2043;2052;1969;2287;2043
25;2034;1994;2287;2043;2052;1969;2287;2043
26;2034;1994;2287;2043;2052;1969;2287;2043
27;2034;1994;2287;2043;2052;1968;2287;2043
28;2034;1994;2287;2043;2052;1964;2287;2043
29;2034;1994;2287;2043;2026;1964;2287;2043
30;2034;1994;2287;2043;2026;1964;2287;2043
31;2034;1994;2287;2043;2026;1964;2287;2043
32;2034;1994;2287;2043;2026;1961;2287;2043
33;2034;1994;2287;2043;2026;1961;2287;2043
34;2034;1994;2287;2043;2026;1961;2287;2043
35;2034;1994;2287;2043;2026;1961;2287;2043
36;2034;1994;2287;2043;2026;1961;2287;2043
37;2026;1994;2287;2043;2026;1961;2287;2043
38;2026;1994;2287;2043;2026;1961;2287;2043
39;2026;1994;2287;2043;2026;1961;2287;2043
40;2026;1994;2287;2043;2026;1961;2287;2043
41;2026;1994;2287;2043;2026;1961;2287;2043
42;2026;1994;2287;2043;2026;1961;2287;2043
43;2026;1994;2287;2043;2026;1961;2287;2043
44;2026;1994;2287;2043;2026;1961;2287;2043
45;2026;1994;2287;2043;2026;1961;2287;2043
46;2026;1994;2287;2043;2026;1961;2287;2043
47;2026;1994;2287;2043;2026;1961;2287;2043
48;2026;1994;2287;2043;2026;1961;2287;2043
49;2026;1994;2287;2043;2026;1961;2287;2043
50;2026;1994;2287;2043;2026;1961;2287;2043
51;2026;1994;2287;2043;2026;1961;2287;2043
52;2026;1994;2287;2043;2026;1961;2287;2043
53;2026;1994;2287;2043;2026;1961;2287;2043
54;2026;1994;2287;2043;2026;1961;2287;2043
55;2004;1994;2287;2043;2026;1961;2287;2043
56;2004;1994;2287;2043;2026;1961;2287;2043
57;2004;1994;2287;2043;2026;1961;2287;2043
58;2004;1994;2287;2043;2026;1961;2287;2043
59;2004;1994;2287;2043;2026;1961;2287;2043
60;2004;1994;2287;2043;2026;1961;2287;2043
